,unemployment_rate,median_household_income,ave_housingprice,grading_score,Percentage_of_good_days,crime_rate,livability_index
Los Angeles County,-0.4351036312986733,-0.023985343774829377,0.6991400724709876,-0.19103092654815704,-2.09254107401156,0.2543514574802556,-0.08054737406143411
San Diego County,-0.6785779106528332,0.542608283547743,0.43485737902570065,0.7760987792001339,-1.545276791983604,-0.8189325585029076,0.40879208095977837
Orange County,-0.8524881101915188,1.0505378975528832,0.7282991087005026,0.7383202750693434,-0.7547839401654447,-0.55083656163835,0.6796326496140065
Riverside County,-0.2611934317599877,-0.08178440633216076,-0.4394508660148365,-0.5423710149645302,-1.9222810751584185,0.12868497468641957,-0.3122559414706962
San Bernardino County,-0.365539551483199,-0.26016778073885427,-0.3459568133424233,-0.742597086857732,-2.1776710734381317,0.10933436140034967,-0.37792817067516643
Santa Clara County,-0.9568342299147301,2.700914827281896,2.236700681271763,1.452334003141324,0.36406748086948826,-0.1796872986689109,1.5711925736491452
Alameda County,-0.8177060702837816,1.5348594437529162,1.412379355481823,1.138772418855744,-0.256165372095529,1.9023036866334384,0.6995926242956941
Sacramento County,-0.4698856712064106,-0.12335292227348096,-0.311706516818866,0.3680909345875722,-0.6331696552703433,0.13194757808930352,-0.0260839584917272
Contra Costa County,-0.7481419904683074,1.5100302689923724,0.6112001219375295,1.1085496155511105,0.14516176805830608,0.19202448212861273,0.8168964450772468
Fresno County,0.8866138851953371,-0.7088228279488439,-0.6977166154762551,-0.9541567099901704,-1.3142096506829113,0.9354480437236584,-0.8621551336963461
Kern County,1.1300881645494967,-0.7875842265745032,-0.7782510964911059,-1.3583867041896522,-1.630406791410175,1.1199538913350198,-1.0506716548732444
Ventura County,-0.5046677111141475,0.8676262515197791,0.3955158222081011,0.37942448582681315,-0.5602010843332825,-0.7311797773218943,0.505112991927714
San Francisco County,-1.0611803496379415,2.2497666867045565,3.9195936293752003,1.799896241144616,0.8018789064918536,4.753594053622671,1.1533133329608272
San Mateo County,-1.1307444294534157,2.570663418701994,3.0795356808582204,1.4787789560328763,1.0207846193030363,-0.6412894283941639,1.8221778259755044
San Joaquin County,0.3648832865792803,-0.22556975033481788,-0.4297311872716648,-0.9012668042070605,-0.3048110860535693,1.040413870444024,-0.4789941887749784
Stanislaus County,0.538793486117966,-0.3286006496997792,-0.49082631080017247,-1.0523808207302308,-0.6574925122493636,0.9715616882866138,-0.5983008079433767
Sonoma County,-0.8872701500992559,0.7188038413259461,0.6746094546906019,0.6854303692862321,1.2275289036247088,-0.980150168031615,0.826710657142154
Tulare County,1.5474726434423425,-0.9670360695672037,-0.7671428922131956,-1.7550609975629758,-1.4236625070885025,0.054995139207491744,-1.0747997219039902
Santa Barbara County,-0.5046677111141475,0.2680118569439425,0.5926864481410121,0.20186551641208525,0.4491974802960594,-0.5587118112315179,0.4120162119863176
Monterey County,0.4344473663947546,0.24984789098182336,0.3783906739463226,-0.9843795132948053,1.1423989041981377,-0.1166853019235675,0.056106933182045376
Solano County,-0.4003215913909363,0.5366553871399897,-0.12425556962912669,0.22075476847748188,0.4127131948275291,0.5055719195023101,0.22446014114056562
Placer County,-0.7481419904683074,0.8131852330898983,-0.14647197818494764,1.3503320419881826,-0.0007753738158160228,-0.8646090061432808,0.6459746497485157
San Luis Obispo County,-0.8177060702837816,0.26714690618384157,0.42467485843761615,0.8894342915925136,-0.8155910826129955,-0.4436206636056508,0.39023020767608796
Santa Cruz County,-0.08728323222130213,0.5723727655865097,1.3059257311518475,0.9612134494410188,1.239690332114219,0.9447858396698434,0.501549823780255
Merced County,1.1648702044572343,-0.8826270512726502,-0.675963048765347,-1.7059489421929457,-0.5791114374241143,0.418831670411847,-0.916229747547149
Marin County,-1.0611803496379415,2.409222903301983,1.8983632926404064,2.306128196497237,0.9721389053449954,-0.782481403243102,1.6954292913500153
Butte County,-0.08728323222130213,-0.8522011362996887,-0.5260022910135556,0.36431308417449504,-0.7061382262074042,0.9480484430727268,-0.467246588216935
Yolo County,-0.330757511575462,-0.02459589725254767,-0.1344380902172112,0.851655787461719,0.6681031931072421,0.06444543871929329,0.1992381263793688
El Dorado County,-0.5394497510218846,0.6655330503950253,-0.17100259596533324,0.9801027015064154,0.3269448883807901,-1.1747813365484778,0.5849278626982355
Shasta County,-0.05250119231356514,-0.7212882947855923,-0.6000569861996254,0.20564336682516512,0.6437803361282218,1.2038815512850656,-0.363344161938125
Kings County,1.0257420448262857,-0.5244356776779205,-0.7620516319191531,-1.4603886653427924,-1.3993396501094824,-0.37004333169233955,-0.7438618287885854
Madera County,0.7474857255643885,-0.7428611843316385,-0.7361324886040288,-1.4906114686474272,-0.8277525111025056,-0.0003566150759164406,-0.7443776410910462
Napa County,-0.7829240303760445,0.9411470661283564,0.7639379307587986,0.5494277544153799,0.2379427760675631,-0.8842971301262007,0.7582038505805436
Humboldt County,-0.6090138308373589,-0.9799594515122408,-0.3487338644119009,0.5569834552415357,1.29889376970601,0.8760461610780492,-0.1416537582885467
Nevada County,-0.6437958707450961,-0.024545017796071142,-0.18164795839833073,1.2332186791827258,-0.12238965871091745,-0.7886690993520196,0.33242273359704616
Sutter County,0.9213959251030741,-0.573992268286055,-0.6167192926164912,-0.8294876463585552,-0.35345680001160995,0.5081595015114939,-0.6499296921595868
Lake County,-0.08728323222130213,-0.9965461543235877,-0.5968170932852348,-0.6519286769438274,1.7370994763564485,0.3782178832242243,-0.3247195822623647
San Benito County,-0.05250119231356514,0.6012214174086988,0.0585669591114832,-0.7161521339661769,1.0694303332610766,-1.7027605699875747,0.44201535890059634
Calaveras County,-0.4351036312986733,-0.34839275826914706,-0.5070257753721252,0.001639444518883586,-0.4355292651569201,-0.609113408627792,-0.05772241757864126
Siskiyou County,0.4344473663947546,-1.0873151046777068,-0.7958390865977976,0.1716427131074504,1.4304896324163112,-0.6439895139689639,-0.28509514204144204
Amador County,-0.365539551483199,-0.24398811357931963,-0.5033230406128217,0.1149749569112646,1.0136288616558935,-0.8061071520226055,0.14436683088880048
Glenn County,0.538793486117966,-0.7837682673387639,-0.7028078757702974,-1.5472792248436158,0.8991703344079348,-0.7381549983901284,-0.44810668254049063
Colusa County,2.90397219984409,-0.5997881527196527,-0.7148417637380337,-1.5246121223651392,0.7775560495128334,-1.0484398323609423,-0.8368578218710299
Plumas County,1.0257420448262857,-0.6933554731799806,-0.6028340372691031,0.47764859656687203,0.24020107958744075,-0.5273233164244631,-0.3536901858276678
Mariposa County,-0.017719152405827835,-0.6612505361432938,-0.595891409595409,0.17919841393360877,-0.24400394360601887,-0.6379143214256634,-0.20418276470436647
Trinity County,0.017062887501909155,-1.2570998509398676,-0.30337536361043316,-0.16836382406968323,-0.36801456909018615,-0.35834296086820433,-0.43646936820842114
Del Norte County,0.15619104713285775,-1.291697881343904,-0.8532314753670016,-0.9881573637078839,1.4671661790958617,0.4051062354066113,-0.5712583714730125
Imperial County,4.573510115415472,-1.1178427785636211,-0.43459102664325067,-1.6643925876490726,-1.19259536578781,0.13251009591738694,-1.6514564702145984
Inyo County,-0.5394497510218846,-0.6031970763035798,-0.8532314753670016,0.020528696584280196,-0.07374394475287659,0.7588174457054649,-0.3046111128186317
Mendocino County,-0.5046677111141475,-0.7596514049688915,-0.6715660512386742,0.028084397410438573,0.7653946210233233,-0.9118605037022882,-0.029245331680756603
Mono County,-0.5394497510218846,-0.25772556682798115,-0.8532314753670016,0.39075803706604867,1.1302374757086275,-1.0550775427323262,0.19966235142492336
Tehama County,0.15619104713285775,-1.1989446321872006,-0.6715660512386742,-0.8068205438800802,0.6316189076387118,0.5433731175495157,-0.5959515865517083
Tuolumne County,-0.19162935194451342,-0.3361816887147813,-0.6699461047814789,0.054529350301994906,0.2778960331468543,-0.35699291808080436,-0.08227834724132413
